altitude,temp,N2,O2,O,He,H,Ar,N
0,296.2698059,1.914092618e+25,5.132780598e+24,0.000000000e+00,1.274677992e+20,0.000000000e+00,2.287556954e+23,0.000000000e+00
1000,289.2142334,1.744743552e+25,4.678658652e+24,0.000000000e+00,1.161900996e+20,0.000000000e+00,2.085165547e+23,0.000000000e+00
2000,283.2949524,1.580869134e+25,4.239217433e+24,0.000000000e+00,1.052769893e+20,0.000000000e+00,1.889317149e+23,0.000000000e+00
3000,277.7578125,1.427640563e+25,3.828323702e+24,0.000000000e+00,9.507283531e+19,0.000000000e+00,1.706191781e+23,0.000000000e+00
4000,271.9640808,1.287843527e+25,3.453447528e+24,0.000000000e+00,8.576312962e+19,0.000000000e+00,1.539118503e+23,0.000000000e+00
5000,265.3807678,1.162449248e+25,3.117193648e+24,0.000000000e+00,7.741258510e+19,0.000000000e+00,1.389258253e+23,0.000000000e+00
6000,257.7845764,1.050457912e+25,2.816880366e+24,0.000000000e+00,6.995458454e+19,0.000000000e+00,1.255415776e+23,0.000000000e+00
7000,249.7656555,9.478843878e+24,2.541822118e+24,0.000000000e+00,6.312376739e+19,0.000000000e+00,1.132828875e+23,0.000000000e+00
8000,241.9806519,8.517095205e+24,2.283922080e+24,0.000000000e+00,5.671906378e+19,0.000000000e+00,1.017889086e+23,0.000000000e+00
9000,234.9398193,7.603952551e+24,2.039056108e+24,0.000000000e+00,5.063804760e+19,0.000000000e+00,9.087582203e+22,0.000000000e+00
10000,229.0379486,6.734287719e+24,1.805849055e+24,0.000000000e+00,4.484656801e+19,0.000000000e+00,8.048235176e+22,0.000000000e+00
11000,224.4971008,5.912145735e+24,1.585385532e+24,0.000000000e+00,3.937156306e+19,0.000000000e+00,7.065682143e+22,0.000000000e+00
12000,221.1152496,5.151828014e+24,1.381500875e+24,0.000000000e+00,3.430827683e+19,0.000000000e+00,6.157016967e+22,0.000000000e+00
13000,218.6342773,4.463028031e+24,1.196793987e+24,0.000000000e+00,2.972125725e+19,0.000000000e+00,5.333822906e+22,0.000000000e+00
14000,216.8384857,3.848970797e+24,1.032129991e+24,0.000000000e+00,2.563197999e+19,0.000000000e+00,4.599955042e+22,0.000000000e+00
15000,215.5391083,3.308465055e+24,8.871893828e+23,0.000000000e+00,2.203251537e+19,0.000000000e+00,3.953989786e+22,0.000000000e+00
16000,214.5934296,2.837122209e+24,7.607953188e+23,0.000000000e+00,1.889363838e+19,0.000000000e+00,3.390681572e+22,0.000000000e+00
