altitude,temp,N2,O2,O,He,H,Ar,N
83000,196.980957,1.542468447e+20,4.136132726e+19,2.569890890e+16,1.071670912e+15,1.656744544e+14,1.843409996e+18,0.000000000e+00
84000,197.7552948,1.297970046e+20,3.480430171e+19,5.564209159e+16,9.135123648e+14,1.601792450e+14,1.551197189e+18,0.000000000e+00
85000,198.7716675,1.091830000e+20,2.927476537e+19,1.069546844e+17,7.796897067e+14,1.497804581e+14,1.304820410e+18,0.000000000e+00
86000,199.72789,9.195566707e+19,2.464890225e+19,1.700001657e+17,6.673822846e+14,1.372178130e+14,1.098609410e+18,0.000000000e+00
87000,200.345932,7.763527579e+19,2.079886993e+19,2.275134715e+17,5.743416160e+14,1.245114962e+14,9.264711750e+17,0.000000000e+00
88000,200.5680847,6.570535033e+19,1.758667419e+19,2.917883614e+17,4.980751771e+14,1.124414972e+14,7.825081318e+17,0.000000000e+00
89000,200.4291992,5.572036858e+19,1.489362717e+19,3.608821875e+17,4.350899514e+14,1.013488718e+14,6.616016414e+17,0.000000000e+00
90000,199.968277,4.732508712e+19,1.262606146e+19,4.317885585e+17,3.826941354e+14,9.135088416e+13,5.596838885e+17,0.000000000e+00
91000,199.2268829,4.023846640e+19,1.070933451e+19,5.011447899e+17,3.388138639e+14,8.243668792e+13,4.734991162e+17,0.000000000e+00
92000,198.2479858,3.423553314e+19,9.083911081e+18,5.655004768e+17,3.018353027e+14,7.453294985e+13,4.004352629e+17,6.225034035e+10
93000,197.0747528,2.913800811e+19,7.701947561e+18,6.215049949e+17,2.705004461e+14,6.754096539e+13,3.383728480e+17,7.511889510e+10
94000,195.7500458,2.480393779e+19,6.524626794e+18,6.660530142e+17,2.438144385e+14,6.135663192e+13,2.855882154e+17,8.952703386e+10
95000,194.3301086,2.111021204e+19,5.518789159e+18,6.965293462e+17,2.209652125e+14,5.582515444e+13,2.405503808e+17,1.055282545e+11
96000,192.9085846,1.795333383e+19,4.656578528e+18,7.117768924e+17,2.012675865e+14,5.079442234e+13,2.018152906e+17,1.233685135e+11
97000,191.5805359,1.525040000e+19,3.917343601e+18,7.106887882e+17,1.841805625e+14,4.620668843e+13,1.685451339e+17,1.432153457e+11
98000,190.4355774,1.293383345e+19,3.284136504e+18,6.933347839e+17,1.692686877e+14,4.201407054e+13,1.400593474e+17,1.652367032e+11
99000,189.5596008,1.094642660e+19,2.742927469e+18,6.617477390e+17,1.561874420e+14,3.817867313e+13,1.157734376e+17,1.896365097e+11
100000,189.0368195,9.242743233e+18,2.281803974e+18,6.198215739e+17,1.446510089e+14,3.466884389e+13,9.517668144e+16,2.166542828e+11
101000,188.9525909,7.785036005e+18,1.890418379e+18,5.723341134e+17,1.344247924e+14,3.145711223e+13,7.781019592e+16,2.465594900e+11
102000,189.3972168,6.540866581e+18,1.559708234e+18,5.236386332e+17,1.253095800e+14,2.851973628e+13,6.326235142e+16,2.796490916e+11
103000,190.470459,5.481942325e+18,1.281644217e+18,4.767033680e+17,1.171363411e+14,2.583430378e+13,5.115754444e+16,3.162327286e+11
104000,192.2877808,4.583335386e+18,1.049043357e+18,4.329001991e+17,1.097537704e+14,2.337946154e+13,4.116157500e+16,3.565437583e+11
105000,194.9705811,3.823372465e+18,8.557269476e+17,3.921442580e+17,1.030368442e+14,2.113587800e+13,3.299837117e+16,4.002614804e+11
106000,198.5441132,3.184628227e+18,6.963031904e+17,3.545875178e+17,9.692709388e+13,1.909593211e+13,2.638807935e+16,4.475331215e+11
107000,202.9972534,2.651022315e+18,5.657630883e+17,3.202225911e+17,9.137969064e+13,1.725248517e+13,2.107329569e+16,4.987145748e+11
108000,208.3291473,2.207297768e+18,4.594648467e+17,2.888971612e+17,8.614620588e+13,1.557547031e+13,1.682312276e+16,5.541670420e+11
109000,214.5459595,1.839570914e+18,3.732670178e+17,2.604217342e+17,8.114441447e+13,1.403182488e+13,1.343795087e+16,6.142563451e+11
110000,221.6569214,1.535555674e+18,3.035870145e+17,2.346111798e+17,7.638861061e+13,1.262091030e+13,1.074921437e+16,6.793606595e+11
111000,229.6698761,1.284570430e+18,2.473693973e+17,2.112897135e+17,7.188640275e+13,1.133924319e+13,8.617283333e+15,7.498630431e+11
112000,238.5856018,1.077520845e+18,2.020666664e+17,1.902861552e+17,6.764349096e+13,1.018130176e+13,6.928150005e+15,8.261741445e+11
