altitude,temp,N2,O2,O,He,H,Ar,N
962000,900.5515747,1.448252031e+05,2.216570435e+02,6.917678976e+09,6.952207647e+11,7.440109568e+10,3.718584310e-03,2.087829440e+08
963000,900.5515747,1.408736406e+05,2.147619934e+02,6.826273536e+09,6.924786729e+11,7.432762982e+10,3.574736649e-03,2.059149280e+08
964000,900.5515747,1.370304219e+05,2.080837860e+02,6.736258048e+09,6.897500160e+11,7.425436877e+10,3.436492523e-03,2.030870720e+08
965000,900.5515747,1.332935781e+05,2.016132660e+02,6.647629184e+09,6.870321070e+11,7.418104218e+10,3.303619800e-03,2.002988160e+08
966000,900.5515747,1.296591328e+05,1.953469238e+02,6.560337536e+09,6.843261911e+11,7.410792858e+10,3.175933147e-03,1.975488320e+08
967000,900.5515747,1.261252266e+05,1.892767944e+02,6.474387072e+09,6.816309576e+11,7.403474125e+10,3.053193446e-03,1.948380960e+08
968000,900.5515747,1.226881094e+05,1.833959961e+02,6.389743616e+09,6.789476516e+11,7.396177510e+10,2.935241908e-03,1.921653120e+08
969000,900.5515747,1.193455625e+05,1.777005920e+02,6.306384896e+09,6.762748314e+11,7.388887450e+10,2.821879461e-03,1.895291680e+08
970000,900.5515747,1.160958594e+05,1.721834106e+02,6.224306688e+09,6.736139387e+11,7.381618688e+10,2.712936606e-03,1.869309920e+08
971000,900.5515747,1.129342109e+05,1.668387756e+02,6.143458944e+09,6.709634007e+11,7.374343373e+10,2.608199604e-03,1.843684160e+08
972000,900.5515747,1.098599219e+05,1.616606445e+02,6.063834240e+09,6.683246592e+11,7.367074611e+10,2.507544355e-03,1.818416640e+08
973000,900.5515747,1.068709453e+05,1.566456451e+02,5.985446144e+09,6.656975176e+11,7.359827968e+10,2.410819754e-03,1.793505760e+08
974000,900.5515747,1.039629062e+05,1.517868042e+02,5.908225024e+09,6.630806651e+11,7.352588698e+10,2.317816950e-03,1.768939520e+08
975000,900.5515747,1.011355312e+05,1.470808868e+02,5.832179840e+09,6.604754125e+11,7.345355981e+10,2.228436293e-03,1.744716160e+08
976000,900.5515747,9.838542969e+04,1.425214233e+02,5.757282816e+09,6.578803835e+11,7.338129818e+10,2.142534824e-03,1.720834560e+08
977000,900.5515747,9.571120312e+04,1.381043701e+02,5.683514880e+09,6.552955126e+11,7.330911027e+10,2.059968421e-03,1.697283200e+08
978000,900.5515747,9.311001562e+04,1.338252258e+02,5.610880256e+09,6.527234212e+11,7.323700429e+10,1.980606467e-03,1.674063680e+08
979000,900.5515747,9.058021875e+04,1.296806335e+02,5.539320064e+09,6.501613568e+11,7.316509491e+10,1.904316479e-03,1.651161760e+08
980000,900.5515747,8.811982812e+04,1.256648865e+02,5.468847872e+09,6.476092539e+11,7.309326746e+10,1.830972033e-03,1.628582400e+08
981000,900.5515747,8.572725000e+04,1.217749023e+02,5.399441792e+09,6.450684232e+11,7.302135808e+10,1.760492800e-03,1.606321120e+08
982000,900.5515747,8.339962500e+04,1.180057678e+02,5.331073280e+09,6.425376850e+11,7.294966170e+10,1.692726510e-03,1.584367040e+08
983000,900.5515747,8.113645312e+04,1.143546066e+02,5.263735552e+09,6.400192020e+11,7.287803904e+10,1.627599820e-03,1.562719040e+08
984000,900.5515747,7.893497656e+04,1.108172684e+02,5.197417344e+09,6.375106806e+11,7.280649011e+10,1.564984559e-03,1.541372640e+08
985000,900.5515747,7.679353906e+04,1.073901596e+02,5.132079616e+09,6.350119240e+11,7.273514598e+10,1.504801447e-03,1.520320960e+08
986000,900.5515747,7.471133594e+04,1.040706177e+02,5.067741568e+09,6.325229978e+11,7.266374451e+10,1.446949085e-03,1.499568000e+08
987000,900.5515747,7.268585938e+04,1.008540878e+02,5.004360960e+09,6.300461957e+11,7.259253146e+10,1.391331665e-03,1.479101120e+08
988000,900.5515747,7.071584375e+04,9.773771667e+01,4.941923840e+09,6.275790275e+11,7.252140032e+10,1.337872352e-03,1.458919360e+08
989000,900.5515747,6.879947656e+04,9.471798706e+01,4.880421248e+09,6.251228692e+11,7.245033472e+10,1.286472077e-03,1.439015520e+08
990000,900.5515747,6.693582031e+04,9.179296112e+01,4.819844224e+09,6.226762138e+11,7.237920358e+10,1.237070072e-03,1.419394240e+08
991000,900.5515747,6.512312891e+04,8.895928955e+01,4.760169984e+09,6.202391921e+11,7.230842470e+10,1.189569593e-03,1.400040480e+08
992000,900.5515747,6.336001172e+04,8.621310425e+01,4.701389824e+09,6.178139668e+11,7.223756390e+10,1.143910689e-03,1.380960960e+08
993000,900.5515747,6.164511328e+04,8.355294037e+01,4.643477120e+09,6.153983754e+11,7.216677683e+10,1.100012683e-03,1.362141440e+08
994000,900.5515747,5.997685156e+04,8.097518921e+01,4.586422656e+09,6.129920901e+11,7.209620275e+10,1.057807240e-03,1.343583840e+08
995000,900.5515747,5.835440234e+04,7.847815704e+01,4.530231424e+09,6.105964872e+11,7.202569421e+10,1.017240691e-03,1.325288880e+08
996000,900.5515747,5.677605859e+04,7.605812836e+01,4.474862976e+09,6.082101903e+11,7.195511194e+10,9.782298002e-04,1.307243120e+08
997000,900.5515747,5.524103906e+04,7.371384430e+01,4.420326272e+09,6.058343137e+11,7.188488192e+10,9.407327161e-04,1.289448000e+08
998000,900.5515747,5.374792969e+04,7.144208527e+01,4.366596480e+09,6.034678743e+11,7.181457818e+10,9.046835476e-04,1.271902480e+08
999000,900.5515747,5.229557812e+04,6.924140930e+01,4.313671040e+09,6.011128381e+11,7.174434816e+10,8.700222825e-04,1.254600320e+08
1000000,900.5515747,5.088246875e+04,6.710851288e+01,4.261506816e+09,5.987658629e+11,7.167417549e+10,8.366955444e-04,1.237536000e+08
