altitude,temp,N2,O2,O,He,H,Ar,N
839000,1095.000977,1.704550400e+08,7.592037500e+05,2.981887939e+11,9.713032233e+11,4.695691264e+10,1.132104797e+02,1.855156429e+10
840000,1095.000977,1.664896160e+08,7.390608750e+05,2.942679721e+11,9.680444457e+11,4.691743539e+10,1.094731522e+02,1.833448858e+10
841000,1095.000977,1.626179840e+08,7.194607500e+05,2.904014495e+11,9.647983165e+11,4.687807283e+10,1.058608322e+02,1.812005683e+10
842000,1095.000977,1.588364160e+08,7.003830625e+05,2.865874145e+11,9.615632630e+11,4.683865702e+10,1.023680878e+02,1.790816666e+10
843000,1095.000977,1.551442400e+08,6.818177500e+05,2.828245775e+11,9.583388262e+11,4.679936819e+10,9.899171448e+01,1.769878733e+10
844000,1095.000977,1.515390560e+08,6.637483750e+05,2.791127660e+11,9.551253996e+11,4.676010803e+10,9.572707367e+01,1.749192294e+10
845000,1095.000977,1.480187680e+08,6.461653125e+05,2.754518200e+11,9.519244902e+11,4.672097075e+10,9.257186127e+01,1.728754278e+10
846000,1095.000977,1.445805440e+08,6.290515000e+05,2.718399524e+11,9.487379333e+11,4.668177613e+10,8.952065277e+01,1.708561408e+10
847000,1095.000977,1.412235360e+08,6.123933750e+05,2.682770130e+11,9.455601582e+11,4.664261837e+10,8.657132721e+01,1.688607642e+10
848000,1095.000977,1.379452640e+08,5.961832500e+05,2.647628570e+11,9.423931310e+11,4.660357939e+10,8.371981049e+01,1.668893491e+10
849000,1095.000977,1.347441120e+08,5.804054375e+05,2.612957850e+11,9.392403251e+11,4.656448307e+10,8.096344757e+01,1.649418957e+10
850000,1095.000977,1.316179840e+08,5.650505625e+05,2.578756040e+11,9.360961044e+11,4.652550963e+10,7.829814148e+01,1.630171443e+10
851000,1095.000977,1.285651360e+08,5.501041250e+05,2.545017359e+11,9.329644012e+11,4.648656896e+10,7.572115326e+01,1.611154842e+10
852000,1095.000977,1.255842960e+08,5.355570000e+05,2.511735045e+11,9.298465915e+11,4.644757094e+10,7.322953796e+01,1.592365978e+10
853000,1095.000977,1.226730320e+08,5.214026250e+05,2.478902840e+11,9.267356631e+11,4.640869990e+10,7.082098389e+01,1.573802394e+10
854000,1095.000977,1.198304000e+08,5.076241562e+05,2.446519081e+11,9.236386939e+11,4.636994355e+10,6.849217987e+01,1.555461120e+10
855000,1095.000977,1.170538560e+08,4.942117812e+05,2.414563922e+11,9.205521449e+11,4.633113395e+10,6.624044800e+01,1.537333555e+10
856000,1095.000977,1.143429680e+08,4.811574062e+05,2.383045007e+11,9.174775235e+11,4.629244314e+10,6.406349182e+01,1.519428915e+10
857000,1095.000977,1.116952800e+08,4.684523438e+05,2.351951857e+11,9.144131912e+11,4.625369907e+10,6.195854950e+01,1.501732762e+10
858000,1095.000977,1.091093120e+08,4.560853750e+05,2.321274025e+11,9.113609175e+11,4.621498368e+10,5.992321396e+01,1.484248371e+10
859000,1095.000977,1.065846480e+08,4.440482500e+05,2.291014958e+11,9.083188019e+11,4.617639117e+10,5.795563126e+01,1.466973184e+10
860000,1095.000977,1.041184000e+08,4.323329688e+05,2.261163566e+11,9.052868444e+11,4.613782733e+10,5.605286789e+01,1.449904435e+10
861000,1095.000977,1.017099840e+08,4.209299688e+05,2.231715092e+11,9.022684529e+11,4.609930035e+10,5.421299362e+01,1.433037210e+10
862000,1095.000977,9.935824000e+07,4.098292500e+05,2.202659763e+11,8.992583188e+11,4.606080614e+10,5.243430328e+01,1.416371507e+10
863000,1095.000977,9.706123200e+07,3.990251562e+05,2.174000517e+11,8.962601124e+11,4.602243072e+10,5.071417236e+01,1.399902310e+10
864000,1095.000977,9.481788000e+07,3.885080625e+05,2.145722829e+11,8.932734403e+11,4.598399795e+10,4.905083847e+01,1.383632486e+10
865000,1095.000977,9.262760800e+07,3.782725000e+05,2.117826427e+11,8.902967951e+11,4.594559795e+10,4.744296646e+01,1.367557018e+10
866000,1095.000977,9.048776000e+07,3.683087500e+05,2.090309883e+11,8.873300460e+11,4.590731674e+10,4.588797379e+01,1.351670989e+10
867000,1095.000977,8.839818400e+07,3.586087500e+05,2.063159654e+11,8.843748966e+11,4.586907238e+10,4.438428497e+01,1.335969382e+10
868000,1095.000977,8.635769600e+07,3.491682500e+05,2.036374810e+11,8.814312161e+11,4.583085261e+10,4.293036270e+01,1.320460288e+10
869000,1095.000977,8.436461600e+07,3.399788750e+05,2.009954140e+11,8.784974316e+11,4.579266970e+10,4.152438354e+01,1.305136333e+10
870000,1095.000977,8.241802400e+07,3.310331875e+05,1.983881477e+11,8.755733463e+11,4.575451546e+10,4.016491318e+01,1.289989939e+10
871000,1095.000977,8.051695200e+07,3.223247812e+05,1.958163436e+11,8.726607299e+11,4.571639398e+10,3.885009766e+01,1.275024384e+10
872000,1095.000977,7.866002400e+07,3.138484375e+05,1.932790661e+11,8.697576817e+11,4.567839130e+10,3.757889938e+01,1.260237210e+10
873000,1095.000977,7.684665600e+07,3.055973750e+05,1.907759068e+11,8.668660367e+11,4.564033536e+10,3.634956360e+01,1.245626266e+10
874000,1095.000977,7.507538400e+07,2.975660000e+05,1.883063895e+11,8.639839601e+11,4.560239411e+10,3.516072083e+01,1.231189299e+10
875000,1095.000977,7.334549600e+07,2.897468438e+05,1.858699955e+11,8.611147284e+11,4.556440371e+10,3.401114655e+01,1.216919962e+10
876000,1095.000977,7.165588000e+07,2.821342188e+05,1.834660086e+11,8.582534922e+11,4.552652390e+10,3.289940643e+01,1.202822656e+10
877000,1095.000977,7.000585600e+07,2.747252500e+05,1.810942536e+11,8.554033971e+11,4.548868096e+10,3.182425117e+01,1.188893286e+10
878000,1095.000977,6.839408800e+07,2.675124375e+05,1.787546926e+11,8.525626081e+11,4.545086669e+10,3.078470039e+01,1.175127347e+10
879000,1095.000977,6.681992800e+07,2.604904062e+05,1.764465009e+11,8.497329603e+11,4.541308518e+10,2.977910805e+01,1.161525350e+10
880000,1095.000977,6.528238800e+07,2.536556562e+05,1.741692134e+11,8.469127496e+11,4.537542246e+10,2.880691338e+01,1.148085146e+10
881000,1095.000977,6.378070800e+07,2.470011719e+05,1.719218642e+11,8.441034834e+11,4.533770650e+10,2.786646080e+01,1.134800384e+10
882000,1095.000977,6.231392400e+07,2.405230781e+05,1.697049375e+11,8.413051617e+11,4.530001920e+10,2.695711517e+01,1.121678029e+10
883000,1095.000977,6.088110400e+07,2.342175781e+05,1.675179863e+11,8.385143767e+11,4.526244659e+10,2.607764816e+01,1.108707328e+10
884000,1095.000977,5.948202400e+07,2.280782344e+05,1.653600486e+11,8.357344707e+11,4.522491085e+10,2.522706223e+01,1.095892890e+10
885000,1095.000977,5.811509600e+07,2.221015156e+05,1.632309560e+11,8.329655091e+11,4.518739968e+10,2.440450287e+01,1.083226726e+10
886000,1095.000977,5.678001600e+07,2.162830938e+05,1.611304008e+11,8.302056571e+11,4.514992538e+10,2.360903358e+01,1.070712832e+10
887000,1095.000977,5.547613600e+07,2.106186719e+05,1.590579241e+11,8.274564874e+11,4.511247974e+10,2.283957863e+01,1.058347725e+10
888000,1095.000977,5.420219600e+07,2.051034062e+05,1.570131610e+11,8.247164928e+11,4.507506688e+10,2.209545517e+01,1.046125363e+10
889000,1095.000977,5.295822000e+07,1.997348281e+05,1.549957448e+11,8.219856077e+11,4.503776870e+10,2.137582016e+01,1.034051994e+10
890000,1095.000977,5.174298800e+07,1.945090156e+05,1.530052823e+11,8.192652739e+11,4.500050330e+10,2.067970085e+01,1.022117888e+10
891000,1095.000977,5.055593200e+07,1.894192188e+05,1.510411274e+11,8.165554258e+11,4.496318054e+10,2.000655746e+01,1.010325504e+10
892000,1095.000977,4.939648800e+07,1.844654062e+05,1.491032212e+11,8.138545562e+11,4.492597658e+10,1.935547256e+01,9.986728960e+09
893000,1095.000977,4.826381600e+07,1.796418125e+05,1.471911762e+11,8.111643034e+11,4.488880128e+10,1.872564888e+01,9.871566848e+09
894000,1095.000977,4.715756800e+07,1.749457188e+05,1.453046682e+11,8.084828324e+11,4.485165875e+10,1.811652565e+01,9.757769728e+09
895000,1095.000977,4.607685200e+07,1.703743281e+05,1.434435722e+11,8.058102088e+11,4.481454899e+10,1.752741814e+01,9.645321216e+09
896000,1095.000977,4.502133200e+07,1.659230156e+05,1.416070523e+11,8.031480709e+11,4.477746790e+10,1.695759392e+01,9.534203904e+09
897000,1095.000977,4.399016000e+07,1.615892344e+05,1.397950367e+11,8.004961567e+11,4.474050150e+10,1.640648460e+01,9.424385024e+09
898000,1095.000977,4.298301600e+07,1.573704531e+05,1.380073984e+11,7.978529587e+11,4.470348186e+10,1.587340927e+01,9.315866624e+09
899000,1095.000977,4.199892400e+07,1.532618125e+05,1.362430843e+11,7.952185426e+11,4.466657690e+10,1.535776806e+01,9.208633344e+09
900000,1095.000977,4.103784000e+07,1.492621562e+05,1.345025341e+11,7.925943501e+11,4.462970470e+10,1.485910702e+01,9.102633984e+09
901000,1095.000977,4.009897600e+07,1.453679844e+05,1.327851500e+11,7.899788083e+11,4.459277517e+10,1.437663460e+01,8.997923840e+09
902000,1095.000977,3.918182000e+07,1.415759531e+05,1.310903905e+11,7.873733591e+11,4.455596032e+10,1.390998745e+01,8.894418944e+09
903000,1095.000977,3.828585200e+07,1.378849375e+05,1.294184120e+11,7.847780680e+11,4.451917824e+10,1.345864201e+01,8.792136704e+09
904000,1095.000977,3.741080800e+07,1.342901406e+05,1.277686815e+11,7.821898547e+11,4.448242483e+10,1.302209091e+01,8.691080192e+09
905000,1095.000977,3.655569200e+07,1.307900781e+05,1.261406510e+11,7.796131103e+11,4.444578611e+10,1.259979630e+01,8.591185920e+09
906000,1095.000977,3.572045600e+07,1.273822109e+05,1.245342874e+11,7.770448200e+11,4.440909414e+10,1.219128895e+01,8.492472832e+09
907000,1095.000977,3.490464000e+07,1.240640781e+05,1.229492424e+11,7.744849838e+11,4.437251686e+10,1.179607010e+01,8.394925568e+09
908000,1095.000977,3.410758800e+07,1.208337656e+05,1.213852672e+11,7.719336673e+11,4.433588634e+10,1.141388321e+01,8.298530304e+09
909000,1095.000977,3.332899600e+07,1.176875547e+05,1.198422851e+11,7.693936230e+11,4.429937050e+10,1.104411888e+01,8.203257344e+09
910000,1095.000977,3.256835600e+07,1.146250234e+05,1.183193364e+11,7.668604600e+11,4.426288333e+10,1.068641663e+01,8.109108736e+09
911000,1095.000977,3.182520000e+07,1.116421719e+05,1.168168330e+11,7.643385692e+11,4.422642483e+10,1.034041691e+01,8.016057344e+09
912000,1095.000977,3.109941600e+07,1.087386172e+05,1.153344538e+11,7.618235597e+11,4.419008512e+10,1.000573540e+01,7.924118528e+09
913000,1095.000977,3.039018400e+07,1.059105703e+05,1.138711178e+11,7.593183150e+11,4.415368806e+10,9.681922913e+00,7.833248768e+09
914000,1095.000977,2.969735200e+07,1.031572578e+05,1.124278077e+11,7.568226386e+11,4.411732378e+10,9.368732452e+00,7.743450112e+09
915000,1095.000977,2.902048200e+07,1.004758984e+05,1.110032118e+11,7.543337779e+11,4.408098406e+10,9.065709114e+00,7.654695936e+09
916000,1095.000977,2.835925400e+07,9.786535938e+04,1.095976817e+11,7.518559928e+11,4.404475904e+10,8.772584915e+00,7.566988288e+09
917000,1095.000977,2.771325400e+07,9.532301562e+04,1.082105713e+11,7.493863342e+11,4.400857088e+10,8.489037514e+00,7.480314368e+09
918000,1095.000977,2.708217400e+07,9.284742188e+04,1.068418314e+11,7.469261128e+11,4.397240730e+10,8.214715958e+00,7.394632704e+09
919000,1095.000977,2.646561600e+07,9.043646094e+04,1.054912072e+11,7.444740833e+11,4.393627648e+10,7.949290276e+00,7.309988352e+09
920000,1095.000977,2.586319400e+07,8.808945312e+04,1.041584364e+11,7.420300493e+11,4.390017024e+10,7.692528248e+00,7.226312704e+09
921000,1095.000977,2.527482000e+07,8.580367969e+04,1.028433050e+11,7.395955180e+11,4.386409677e+10,7.444173336e+00,7.143622144e+09
922000,1095.000977,2.469978800e+07,8.357753906e+04,1.015453798e+11,7.371689165e+11,4.382805197e+10,7.203836918e+00,7.061904896e+09
923000,1095.000977,2.413811200e+07,8.141009375e+04,1.002649544e+11,7.347516867e+11,4.379212186e+10,6.971366882e+00,6.981148672e+09
924000,1095.000977,2.358925400e+07,7.929914844e+04,9.900091597e+10,7.323423867e+11,4.375613440e+10,6.746423721e+00,6.901329920e+09
925000,1095.000977,2.305314000e+07,7.724383594e+04,9.775392614e+10,7.299437691e+11,4.372026163e+10,6.528813362e+00,6.822449152e+09
926000,1095.000977,2.252925400e+07,7.524235156e+04,9.652340429e+10,7.275502633e+11,4.368441754e+10,6.318294048e+00,6.744482816e+09
927000,1095.000977,2.201748400e+07,7.329274219e+04,9.530893978e+10,7.251673088e+11,4.364860621e+10,6.114610195e+00,6.667445760e+09
