altitude,temp,N2,O2,O,He,H,Ar,N
0,294.6033936,1.924922356e+25,5.161821538e+24,0.000000000e+00,1.281889996e+20,0.000000000e+00,2.300499578e+23,0.000000000e+00
1000,288.8127136,1.746494840e+25,4.683355078e+24,0.000000000e+00,1.163067270e+20,0.000000000e+00,2.087258640e+23,0.000000000e+00
2000,283.6261292,1.578404534e+25,4.232608310e+24,0.000000000e+00,1.051128630e+20,0.000000000e+00,1.886371795e+23,0.000000000e+00
3000,278.5151672,1.423551035e+25,3.817357401e+24,0.000000000e+00,9.480049068e+19,0.000000000e+00,1.701304295e+23,0.000000000e+00
4000,273.0254211,1.283179960e+25,3.440941789e+24,0.000000000e+00,8.545256597e+19,0.000000000e+00,1.533545029e+23,0.000000000e+00
5000,266.776947,1.157343189e+25,3.103501552e+24,0.000000000e+00,7.707254574e+19,0.000000000e+00,1.383155876e+23,0.000000000e+00
6000,259.6186829,1.044747146e+25,2.801566686e+24,0.000000000e+00,6.957428545e+19,0.000000000e+00,1.248590931e+23,0.000000000e+00
7000,252.0084991,9.420051799e+24,2.526056493e+24,0.000000000e+00,6.273224450e+19,0.000000000e+00,1.125802629e+23,0.000000000e+00
8000,244.4604492,8.464913978e+24,2.269929360e+24,0.000000000e+00,5.637156533e+19,0.000000000e+00,1.011652862e+23,0.000000000e+00
9000,237.3820343,7.567376692e+24,2.029247917e+24,0.000000000e+00,5.039447059e+19,0.000000000e+00,9.043869364e+22,0.000000000e+00
10000,231.0899811,6.721045263e+24,1.802297913e+24,0.000000000e+00,4.475837838e+19,0.000000000e+00,8.032408626e+22,0.000000000e+00
11000,225.7865753,5.925964076e+24,1.589091165e+24,0.000000000e+00,3.946358778e+19,0.000000000e+00,7.082196843e+22,0.000000000e+00
12000,221.4473724,5.188650597e+24,1.391375071e+24,0.000000000e+00,3.455349431e+19,0.000000000e+00,6.201023891e+22,0.000000000e+00
13000,218.0116577,4.514018003e+24,1.210467276e+24,0.000000000e+00,3.006081943e+19,0.000000000e+00,5.394761563e+22,0.000000000e+00
14000,215.438385,3.904188243e+24,1.046936962e+24,0.000000000e+00,2.599969626e+19,0.000000000e+00,4.665945837e+22,0.000000000e+00
15000,213.7048035,3.358822937e+24,9.006931921e+23,0.000000000e+00,2.236787082e+19,0.000000000e+00,4.014172739e+22,0.000000000e+00
16000,212.7787933,2.876166472e+24,7.712652873e+23,0.000000000e+00,1.915365089e+19,0.000000000e+00,3.437343818e+22,0.000000000e+00
17000,212.5256042,2.454182213e+24,6.581071224e+23,0.000000000e+00,1.634347289e+19,0.000000000e+00,2.933024877e+22,0.000000000e+00
18000,212.7925873,2.089131669e+24,5.602160883e+23,0.000000000e+00,1.391244168e+19,0.000000000e+00,2.496748346e+22,0.000000000e+00
19000,213.4351349,1.775960862e+24,4.762370337e+23,0.000000000e+00,1.182690012e+19,0.000000000e+00,2.122473771e+22,0.000000000e+00
20000,214.3106079,1.509056363e+24,4.046646034e+23,0.000000000e+00,1.004946591e+19,0.000000000e+00,1.803492817e+22,0.000000000e+00
21000,215.2909393,1.282601827e+24,3.439391469e+23,0.000000000e+00,8.541406547e+18,0.000000000e+00,1.532854064e+22,0.000000000e+00
22000,216.3260803,1.090745529e+24,2.924914659e+23,0.000000000e+00,7.263751495e+18,0.000000000e+00,1.303564097e+22,0.000000000e+00
23000,217.3891144,9.282390809e+23,2.489141676e+23,0.000000000e+00,6.181550029e+18,0.000000000e+00,1.109350529e+22,0.000000000e+00
24000,218.4523163,7.906041764e+23,2.120063400e+23,0.000000000e+00,5.264978994e+18,0.000000000e+00,9.448612817e+21,0.000000000e+00
25000,219.4868164,6.740195289e+23,1.807433241e+23,0.000000000e+00,4.488591019e+18,0.000000000e+00,8.055295357e+21,0.000000000e+00
26000,220.4729004,5.751992400e+23,1.542439278e+23,0.000000000e+00,3.830503348e+18,0.000000000e+00,6.874280960e+21,0.000000000e+00
27000,221.4457703,4.912663383e+23,1.317366932e+23,0.000000000e+00,3.271557266e+18,0.000000000e+00,5.871187460e+21,0.000000000e+00
28000,222.4606781,4.198162258e+23,1.125768222e+23,0.000000000e+00,2.795739761e+18,0.000000000e+00,5.017277949e+21,0.000000000e+00
29000,223.5748291,3.588824148e+23,9.623697908e+22,0.000000000e+00,2.389955099e+18,0.000000000e+00,4.289050393e+21,0.000000000e+00
30000,224.8477325,3.068466357e+23,8.228319714e+22,0.000000000e+00,2.043426005e+18,0.000000000e+00,3.667164083e+21,0.000000000e+00
31000,226.3336639,2.623697523e+23,7.035639080e+22,0.000000000e+00,1.747235027e+18,0.000000000e+00,3.135614915e+21,0.000000000e+00
32000,228.0375214,2.243816553e+23,6.016959973e+22,0.000000000e+00,1.494255544e+18,0.000000000e+00,2.681614073e+21,0.000000000e+00
33000,229.9450684,1.919691947e+23,5.147795869e+22,0.000000000e+00,1.278406843e+18,0.000000000e+00,2.294248773e+21,0.000000000e+00
34000,232.0415649,1.643346751e+23,4.406756022e+22,0.000000000e+00,1.094376496e+18,0.000000000e+00,1.963985035e+21,0.000000000e+00
35000,234.3119812,1.407834521e+23,3.775212419e+22,0.000000000e+00,9.375385842e+17,0.000000000e+00,1.682521318e+21,0.000000000e+00
36000,236.7400513,1.207197266e+23,3.237188763e+22,0.000000000e+00,8.039254501e+17,0.000000000e+00,1.442737007e+21,0.000000000e+00
37000,239.3061523,1.036259990e+23,2.778807890e+22,0.000000000e+00,6.900908810e+17,0.000000000e+00,1.238447817e+21,0.000000000e+00
38000,241.9880981,8.906239360e+22,2.388273969e+22,0.000000000e+00,5.931054342e+17,0.000000000e+00,1.064396217e+21,0.000000000e+00
39000,244.7614899,7.665015777e+22,2.055430710e+22,0.000000000e+00,5.104469675e+17,0.000000000e+00,9.160560192e+20,0.000000000e+00
40000,247.5998077,6.606648698e+22,1.771621743e+22,0.000000000e+00,4.399656265e+17,0.000000000e+00,7.895691867e+20,0.000000000e+00
41000,250.4689178,5.703635990e+22,1.529472198e+22,0.000000000e+00,3.798300714e+17,0.000000000e+00,6.816489363e+20,0.000000000e+00
42000,253.2874146,4.933469113e+22,1.322946127e+22,0.000000000e+00,3.285412899e+17,0.000000000e+00,5.896052819e+20,0.000000000e+00
43000,255.9433746,4.276864553e+22,1.146872833e+22,0.000000000e+00,2.848151041e+17,0.000000000e+00,5.111336120e+20,0.000000000e+00
44000,258.3162842,3.717108552e+22,9.967701088e+21,0.000000000e+00,2.475385160e+17,0.000000000e+00,4.442364394e+20,0.000000000e+00
45000,260.2790833,3.239671823e+22,8.687419474e+21,0.000000000e+00,2.157439039e+17,0.000000000e+00,3.871773803e+20,0.000000000e+00
46000,261.7077026,2.832004859e+22,7.594230338e+21,0.000000000e+00,1.885955874e+17,0.000000000e+00,3.384565599e+20,0.000000000e+00
47000,262.5492249,2.482729991e+22,6.657624041e+21,0.000000000e+00,1.653358484e+17,0.000000000e+00,2.967142782e+20,0.000000000e+00
48000,262.8014832,2.182101655e+22,5.851466760e+21,0.000000000e+00,1.453156830e+17,0.000000000e+00,2.607857919e+20,0.000000000e+00
49000,262.4711304,1.922175052e+22,5.154454779e+21,0.000000000e+00,1.280060456e+17,0.000000000e+00,2.297216329e+20,0.000000000e+00
50000,261.5723877,1.696455877e+22,4.549171833e+21,0.000000000e+00,1.129744160e+17,0.000000000e+00,2.027456517e+20,0.000000000e+00
51000,260.1306152,1.499569085e+22,4.021205560e+21,5.959936954e+13,9.986286871e+16,0.000000000e+00,1.792154519e+20,0.000000000e+00
52000,258.2363892,1.326842866e+22,3.558027227e+21,5.520773612e+13,8.836026769e+16,0.000000000e+00,1.585727104e+20,0.000000000e+00
53000,256.0253296,1.174356725e+22,3.149124588e+21,5.113550733e+13,7.820555625e+16,0.000000000e+00,1.403489034e+20,0.000000000e+00
54000,253.6288605,1.039042133e+22,2.786268440e+21,4.758532679e+13,6.919436268e+16,0.000000000e+00,1.241772775e+20,0.000000000e+00
55000,251.1703796,9.184953517e+21,2.463013288e+21,4.470022865e+13,6.116662642e+16,0.000000000e+00,1.097705702e+20,0.000000000e+00
56000,248.7607727,8.108290902e+21,2.174298212e+21,4.258156406e+13,5.399665526e+16,0.000000000e+00,9.690324070e+19,0.000000000e+00
57000,246.4260101,7.147466499e+21,1.916646011e+21,4.119738083e+13,4.759810747e+16,0.000000000e+00,8.542030190e+19,0.000000000e+00
58000,244.1181183,6.292572389e+21,1.687399842e+21,4.042382954e+13,4.190499088e+16,0.000000000e+00,7.520334958e+19,0.000000000e+00
59000,241.7901001,5.533910632e+21,1.483959158e+21,4.016582112e+13,3.685273496e+16,0.000000000e+00,6.613648643e+19,0.000000000e+00
60000,239.3983765,4.862096291e+21,1.303807151e+21,4.035203144e+13,3.237882644e+16,0.000000000e+00,5.810754466e+19,0.000000000e+00
61000,236.9037476,4.268207734e+21,1.144551424e+21,4.092983037e+13,2.842386164e+16,0.000000000e+00,5.100990243e+19,0.000000000e+00
62000,234.2873688,3.743660256e+21,1.003890145e+21,4.197324318e+13,2.493067025e+16,0.000000000e+00,4.474096652e+19,0.000000000e+00
63000,231.5523529,3.280460249e+21,8.796796710e+20,4.372683974e+13,2.184601829e+16,0.000000000e+00,3.920520695e+19,0.000000000e+00
64000,228.7039185,2.871513700e+21,7.700176534e+20,4.650828825e+13,1.912266543e+16,0.000000000e+00,3.431783378e+19,0.000000000e+00
65000,225.7476044,2.510585937e+21,6.732322011e+20,5.075528109e+13,1.671909006e+16,0.000000000e+00,3.000433971e+19,0.000000000e+00
66000,222.6902161,2.192153999e+21,5.878423337e+20,5.711121193e+13,1.459851223e+16,0.000000000e+00,2.619871666e+19,0.000000000e+00
67000,219.582962,1.911009897e+21,5.124514426e+20,6.618436390e+13,1.272625116e+16,0.000000000e+00,2.283872788e+19,0.000000000e+00
68000,216.5399475,1.662278763e+21,4.457523229e+20,7.815622453e+13,1.106984119e+16,0.000000000e+00,1.986610803e+19,0.000000000e+00
69000,213.6687775,1.442060341e+21,3.866991191e+20,9.297617696e+13,9.603310651e+15,0.000000000e+00,1.723424993e+19,0.000000000e+00
70000,211.0657959,1.247204363e+21,3.344470896e+20,1.101569941e+14,8.305679161e+15,0.000000000e+00,1.490550079e+19,0.000000000e+00
71000,208.8177185,1.075106410e+21,2.882977542e+20,1.285146909e+14,7.159603645e+15,0.000000000e+00,1.284873565e+19,0.000000000e+00
72000,206.9191284,9.238781384e+20,2.477447571e+20,1.473282163e+14,6.152508439e+15,0.000000000e+00,1.104138703e+19,0.000000000e+00
73000,205.1862335,7.922741612e+20,2.124541634e+20,1.689126248e+14,5.276100498e+15,0.000000000e+00,9.468571926e+18,0.000000000e+00
74000,203.4260559,6.786600942e+20,1.819877166e+20,1.976062108e+14,4.519494228e+15,0.000000000e+00,8.110754230e+18,0.000000000e+00
75000,201.4589996,5.811404849e+20,1.558371255e+20,2.406646672e+14,3.870068866e+15,0.000000000e+00,6.945285649e+18,0.000000000e+00
