altitude,temp,N2,O2,O,He,H,Ar,N
0,281.1228638,2.017224329e+25,5.409335914e+24,0.000000000e+00,1.343357886e+20,0.000000000e+00,2.410810928e+23,0.000000000e+00
1000,275.6906738,1.819374813e+25,4.878787955e+24,0.000000000e+00,1.211601297e+20,0.000000000e+00,2.174358437e+23,0.000000000e+00
2000,271.21521,1.632258766e+25,4.377022681e+24,0.000000000e+00,1.086992500e+20,0.000000000e+00,1.950733638e+23,0.000000000e+00
3000,266.8562317,1.461256411e+25,3.918467176e+24,0.000000000e+00,9.731145858e+19,0.000000000e+00,1.746366412e+23,0.000000000e+00
4000,261.8814392,1.308747954e+25,3.509504589e+24,0.000000000e+00,8.715525208e+19,0.000000000e+00,1.564101772e+23,0.000000000e+00
5000,255.6739044,1.175026238e+25,3.150919772e+24,0.000000000e+00,7.825014028e+19,0.000000000e+00,1.404289107e+23,0.000000000e+00
6000,248.0179901,1.057933685e+25,2.836927365e+24,0.000000000e+00,7.045243021e+19,0.000000000e+00,1.264350287e+23,0.000000000e+00
7000,239.7605438,9.515906845e+24,2.551760590e+24,0.000000000e+00,6.337058576e+19,0.000000000e+00,1.137258345e+23,0.000000000e+00
8000,231.8143311,8.517127487e+24,2.283930727e+24,0.000000000e+00,5.671927929e+19,0.000000000e+00,1.017892959e+23,0.000000000e+00
9000,224.8769073,7.562268674e+24,2.027878246e+24,0.000000000e+00,5.036045610e+19,0.000000000e+00,9.037765185e+22,0.000000000e+00
10000,219.4859619,6.646088647e+24,1.782197735e+24,0.000000000e+00,4.425920890e+19,0.000000000e+00,7.942826625e+22,0.000000000e+00
11000,215.9312134,5.776777186e+24,1.549085510e+24,0.000000000e+00,3.847008667e+19,0.000000000e+00,6.903901586e+22,0.000000000e+00
12000,213.8309479,4.978545065e+24,1.335033527e+24,0.000000000e+00,3.315430639e+19,0.000000000e+00,5.949923442e+22,0.000000000e+00
13000,212.7117767,4.266456068e+24,1.144081767e+24,0.000000000e+00,2.841219850e+19,0.000000000e+00,5.098897135e+22,0.000000000e+00
14000,212.1547241,3.644605084e+24,9.773277404e+23,0.000000000e+00,2.427101769e+19,0.000000000e+00,4.355714476e+22,0.000000000e+00
15000,211.764389,3.110090787e+24,8.339938728e+23,0.000000000e+00,2.071145655e+19,0.000000000e+00,3.716909944e+22,0.000000000e+00
16000,211.2292023,2.655011051e+24,7.119608786e+23,0.000000000e+00,1.768088035e+19,0.000000000e+00,3.173038139e+22,0.000000000e+00
17000,210.5711975,2.266935223e+24,6.078954454e+23,0.000000000e+00,1.509651345e+19,0.000000000e+00,2.709243713e+22,0.000000000e+00
18000,209.9029236,1.934793526e+24,5.188291967e+23,0.000000000e+00,1.288463581e+19,0.000000000e+00,2.312296893e+22,0.000000000e+00
19000,209.3338623,1.649836149e+24,4.424157571e+23,0.000000000e+00,1.098697989e+19,0.000000000e+00,1.971740544e+22,0.000000000e+00
20000,208.9712067,1.405029265e+24,3.767689831e+23,0.000000000e+00,9.356704314e+18,0.000000000e+00,1.679168697e+22,0.000000000e+00
21000,208.8992615,1.194736743e+24,3.203775026e+23,0.000000000e+00,7.956274496e+18,0.000000000e+00,1.427845433e+22,0.000000000e+00
22000,209.0968475,1.014714463e+24,2.721031840e+23,0.000000000e+00,6.757427490e+18,0.000000000e+00,1.212698345e+22,0.000000000e+00
23000,209.5122986,8.611737091e+23,2.309300873e+23,0.000000000e+00,5.734932254e+18,0.000000000e+00,1.029199854e+22,0.000000000e+00
24000,210.0947723,7.306093839e+23,1.959183112e+23,0.000000000e+00,4.865447255e+18,0.000000000e+00,8.731607105e+21,0.000000000e+00
25000,210.793457,6.198425224e+23,1.662153603e+23,0.000000000e+00,4.127802496e+18,0.000000000e+00,7.407818468e+21,0.000000000e+00
