altitude,temp,N2,O2,O,He,H,Ar,N
0,282.9043884,2.004521440e+25,5.375272272e+24,0.000000000e+00,1.334898508e+20,0.000000000e+00,2.395629474e+23,0.000000000e+00
1000,276.5773315,1.814592264e+25,4.865963433e+24,0.000000000e+00,1.208416407e+20,0.000000000e+00,2.168642828e+23,0.000000000e+00
2000,271.3103638,1.632993638e+25,4.378993312e+24,0.000000000e+00,1.087481915e+20,0.000000000e+00,1.951611840e+23,0.000000000e+00
3000,266.2862854,1.465376030e+25,3.929514182e+24,0.000000000e+00,9.758579992e+19,0.000000000e+00,1.751289927e+23,0.000000000e+00
4000,260.8071594,1.314491924e+25,3.524907332e+24,0.000000000e+00,8.753776778e+19,0.000000000e+00,1.570966339e+23,0.000000000e+00
5000,254.2924652,1.180971393e+25,3.166862083e+24,0.000000000e+00,7.864605243e+19,0.000000000e+00,1.411394256e+23,0.000000000e+00
6000,246.5491333,1.063014726e+25,2.850552592e+24,0.000000000e+00,7.079079831e+19,0.000000000e+00,1.270422671e+23,0.000000000e+00
7000,238.4125214,9.550927989e+24,2.561152000e+24,0.000000000e+00,6.360380977e+19,0.000000000e+00,1.141443811e+23,0.000000000e+00
8000,230.7715302,8.532411768e+24,2.288029363e+24,0.000000000e+00,5.682106328e+19,0.000000000e+00,1.019719619e+23,0.000000000e+00
9000,224.3062134,7.556904706e+24,2.026439977e+24,0.000000000e+00,5.032473516e+19,0.000000000e+00,9.031354762e+22,0.000000000e+00
10000,219.5531158,6.621238577e+24,1.775534137e+24,0.000000000e+00,4.409372360e+19,0.000000000e+00,7.913128088e+22,0.000000000e+00
11000,216.7992401,5.735802932e+24,1.538098024e+24,0.000000000e+00,3.819721867e+19,0.000000000e+00,6.854932596e+22,0.000000000e+00
12000,215.5753326,4.927662027e+24,1.321388989e+24,0.000000000e+00,3.281545669e+19,0.000000000e+00,5.889112687e+22,0.000000000e+00
13000,215.2960358,4.212972039e+24,1.129739568e+24,0.000000000e+00,2.805602270e+19,0.000000000e+00,5.034977546e+22,0.000000000e+00
14000,215.4200439,3.595293767e+24,9.641045954e+23,0.000000000e+00,2.394263315e+19,0.000000000e+00,4.296782173e+22,0.000000000e+00
15000,215.4158325,3.070388205e+24,8.233473633e+23,0.000000000e+00,2.044705919e+19,0.000000000e+00,3.669460919e+22,0.000000000e+00
16000,214.8747253,2.628306795e+24,7.047999390e+23,0.000000000e+00,1.750304534e+19,0.000000000e+00,3.141123605e+22,0.000000000e+00
17000,213.9317474,2.252952015e+24,6.041457483e+23,0.000000000e+00,1.500339251e+19,0.000000000e+00,2.692532206e+22,0.000000000e+00
18000,212.8690338,1.930944641e+24,5.177970797e+23,0.000000000e+00,1.285900509e+19,0.000000000e+00,2.307696916e+22,0.000000000e+00
19000,211.9588013,1.652645531e+24,4.431691193e+23,0.000000000e+00,1.100568918e+19,0.000000000e+00,1.975097977e+22,0.000000000e+00
20000,211.4642639,1.411007307e+24,3.783720484e+23,0.000000000e+00,9.396515431e+18,0.000000000e+00,1.686313208e+22,0.000000000e+00
21000,211.587738,1.201074857e+24,3.220770891e+23,0.000000000e+00,7.998482548e+18,0.000000000e+00,1.435420150e+22,0.000000000e+00
22000,212.2540436,1.020124763e+24,2.735539916e+23,0.000000000e+00,6.793456837e+18,0.000000000e+00,1.219164276e+22,0.000000000e+00
23000,213.307724,8.654813841e+23,2.320852246e+23,0.000000000e+00,5.763619062e+18,0.000000000e+00,1.034348031e+22,0.000000000e+00
24000,214.5930481,7.341911507e+23,1.968787848e+23,0.000000000e+00,4.889300060e+18,0.000000000e+00,8.774413257e+21,0.000000000e+00
25000,215.9489746,6.232758506e+23,1.671360221e+23,0.000000000e+00,4.150666290e+18,0.000000000e+00,7.448850201e+21,0.000000000e+00
26000,217.2408295,5.298357059e+23,1.420793629e+23,0.000000000e+00,3.528407855e+18,0.000000000e+00,6.332135385e+21,0.000000000e+00
27000,218.5124207,4.508921441e+23,1.209100667e+23,0.000000000e+00,3.002688190e+18,0.000000000e+00,5.388670670e+21,0.000000000e+00
28000,219.8725433,3.839451629e+23,1.029577368e+23,0.000000000e+00,2.556858765e+18,0.000000000e+00,4.588578330e+21,0.000000000e+00
29000,221.4352417,3.270006043e+23,8.768762478e+22,0.000000000e+00,2.177640091e+18,0.000000000e+00,3.908026443e+21,0.000000000e+00
30000,223.3217468,2.784528632e+23,7.466919543e+22,0.000000000e+00,1.854339417e+18,0.000000000e+00,3.327826295e+21,0.000000000e+00
31000,225.6362915,2.370268083e+23,6.356049049e+22,0.000000000e+00,1.578465078e+18,0.000000000e+00,2.832737988e+21,0.000000000e+00
