altitude,temp,N2,O2,O,He,H,Ar,N
364000,948.3947754,1.593336503e+13,2.994268733e+11,1.125048413e+14,1.161456910e+12,7.843997286e+10,1.505887104e+09,2.526199153e+12
365000,948.4006348,1.544443501e+13,2.889544827e+11,1.105200007e+14,1.156286382e+12,7.834993459e+10,1.440425600e+09,2.487146250e+12
366000,948.4063721,1.497068418e+13,2.788515512e+11,1.085706313e+14,1.151139054e+12,7.826013389e+10,1.377836032e+09,2.448707551e+12
367000,948.4118652,1.451157776e+13,2.691055288e+11,1.066564646e+14,1.146017022e+12,7.817061990e+10,1.317979136e+09,2.410881483e+12
368000,948.4171753,1.406668793e+13,2.597026857e+11,1.047765107e+14,1.140922384e+12,7.808122061e+10,1.260742016e+09,2.373644976e+12
369000,948.4223633,1.363556906e+13,2.506307830e+11,1.029304762e+14,1.135848325e+12,7.799209165e+10,1.206009088e+09,2.336996983e+12
370000,948.4273682,1.321779226e+13,2.418785976e+11,1.011170103e+14,1.130801398e+12,7.790321664e+10,1.153663616e+09,2.300924396e+12
371000,948.432251,1.281293917e+13,2.334347592e+11,9.933628096e+13,1.125777015e+12,7.781445632e+10,1.103604992e+09,2.265417253e+12
372000,948.4368896,1.242060816e+13,2.252878971e+11,9.758768410e+13,1.120779502e+12,7.772596634e+10,1.055734912e+09,2.230471623e+12
373000,948.4414673,1.204042806e+13,2.174278697e+11,9.587062409e+13,1.115806368e+12,7.763773030e+10,1.009954688e+09,2.196073349e+12
374000,948.4458618,1.167195531e+13,2.098444861e+11,9.418380073e+13,1.110853550e+12,7.754960896e+10,9.661709440e+08,2.162214175e+12
375000,948.4501343,1.131488897e+13,2.025275392e+11,9.252739851e+13,1.105924850e+12,7.746173338e+10,9.243013120e+08,2.128893968e+12
376000,948.4542847,1.096885259e+13,1.954676408e+11,9.090048630e+13,1.101024461e+12,7.737398886e+10,8.842563840e+08,2.096087171e+12
377000,948.458252,1.063350226e+13,1.886567629e+11,8.930288789e+13,1.096141898e+12,7.728663757e+10,8.459594240e+08,2.063802040e+12
378000,948.4621582,1.030848355e+13,1.820842394e+11,8.773373924e+13,1.091287187e+12,7.719925350e+10,8.093288320e+08,2.032022323e+12
379000,948.4658813,9.993496560e+12,1.757434184e+11,8.619283058e+13,1.086454170e+12,7.711212339e+10,7.742949760e+08,2.000739631e+12
380000,948.4694824,9.688264475e+12,1.696250593e+11,8.467933980e+13,1.081642844e+12,7.702509978e+10,7.407903360e+08,1.969946624e+12
381000,948.4730225,9.392391979e+12,1.637209375e+11,8.319244479e+13,1.076856881e+12,7.693833011e+10,7.087436800e+08,1.939638583e+12
382000,948.4764404,9.105677746e+12,1.580241551e+11,8.173262363e+13,1.072092283e+12,7.685166694e+10,6.780912000e+08,1.909804499e+12
383000,948.4797363,8.827784135e+12,1.525273723e+11,8.029873541e+13,1.067350884e+12,7.676525773e+10,6.487744000e+08,1.880440177e+12
384000,948.4829102,8.558439039e+12,1.472234947e+11,7.889063750e+13,1.062632686e+12,7.667910246e+10,6.207334400e+08,1.851534737e+12
